pollutant,h,fe_type,data_ver,model,train_n,train_n_eff,clean_removed,RMSE,MAE,R2
CO(GT),1,hourly,orig,LinReg,6590.0,6590.0,0.0,0.692398794019153,0.5078909580951141,0.7433097463896563
CO(GT),1,merge,cleaned,LinReg,5845.0,5845.0,161.0,0.6191649667503062,0.4391640832017619,0.794737542476972
CO(GT),1,merge,orig,LinReg,6006.0,6006.0,0.0,0.6192558642641927,0.43819600088224425,0.7946772702793097
CO(GT),1,N/A,N/A,Naive,,,,0.7765282796924261,0.4931857057001526,0.6771421676701348
CO(GT),1,daily,cleaned,RF,252.0,252.0,0.0,0.6851301535960159,0.545861950463954,0.2833597270069552
CO(GT),1,daily,orig,RF,252.0,252.0,0.0,0.670904598765147,0.5325656010532002,0.31281039029633095
CO(GT),1,hourly,cleaned,RF,6414.0,6414.0,176.0,0.6079912357026774,0.41357635687839506,0.8020792120443587
CO(GT),1,hourly,orig,RF,6590.0,6590.0,0.0,0.6143118111499388,0.4166650231790992,0.7979427191025947
CO(GT),1,merge,cleaned,RF,5845.0,5845.0,161.0,0.5719402936372479,0.393658177685235,0.8248548314928259
CO(GT),1,merge,orig,RF,6006.0,6006.0,0.0,0.5577412590207681,0.38392874719322573,0.8334432189382545
CO(GT),1,daily,cleaned,XGB,252.0,252.0,0.0,0.6489422772363449,0.5063711720268048,0.35706482941955575
CO(GT),1,daily,orig,XGB,252.0,252.0,0.0,0.6702573523067011,0.5191151569106361,0.3141356651375722
CO(GT),1,hourly,cleaned,XGB,6414.0,6414.0,176.0,0.5905955737299068,0.40508308631645656,0.8132428881429886
CO(GT),1,hourly,orig,XGB,6590.0,6590.0,0.0,0.5788180097730368,0.39511084923953377,0.8206171809679522
CO(GT),1,merge,cleaned,XGB,5845.0,5845.0,161.0,0.5509242710469578,0.3812181821979584,0.8374898149231333
CO(GT),1,merge,orig,XGB,6006.0,6006.0,0.0,0.5227373697440355,0.3596630870905341,0.8536934161074458
CO(GT),6,daily,cleaned,LinReg,252.0,252.0,0.0,0.6587206919367873,0.5574957987984489,-1.462588164245353
CO(GT),6,daily,orig,LinReg,252.0,252.0,0.0,0.7332499462990479,0.6527970370587991,-2.051358644082964
CO(GT),6,hourly,cleaned,LinReg,6409.0,6409.0,176.0,1.4417643069357842,1.1919159424985175,-0.11081963475667456
CO(GT),6,hourly,orig,LinReg,6585.0,6585.0,0.0,1.3584569177247758,1.11120963086754,0.013841442523708003
CO(GT),6,merge,cleaned,LinReg,5840.0,5840.0,161.0,1.0575452173855806,0.7901463463548946,0.40234177676236715
CO(GT),6,merge,orig,LinReg,6001.0,6001.0,0.0,0.9824796915135212,0.7076675976966272,0.4841752548448245
CO(GT),6,N/A,N/A,Naive,,,,1.7631696428631327,1.3295003987016498,-0.6612814202553261
CO(GT),6,daily,cleaned,RF,252.0,252.0,0.0,0.3611678593766242,0.2739324958262391,0.2597006528194086
CO(GT),6,daily,orig,RF,252.0,252.0,0.0,0.36009983211066066,0.26939655647828903,0.264072530424896
CO(GT),6,hourly,cleaned,RF,6409.0,6409.0,176.0,1.1664871601032256,0.8743394268799953,0.2728651938071861
CO(GT),6,hourly,orig,RF,6585.0,6585.0,0.0,1.1814099373190752,0.8870608549029122,0.2541418366128708
CO(GT),6,merge,cleaned,RF,5840.0,5840.0,161.0,0.8621990399724712,0.6192957838329829,0.6027443541348885
CO(GT),6,merge,orig,RF,6001.0,6001.0,0.0,0.7985190466206338,0.5779752547425686,0.6592580790342173
CO(GT),6,daily,cleaned,XGB,252.0,252.0,0.0,0.33524064259890013,0.24774318216182128,0.36217357935532435
CO(GT),6,daily,orig,XGB,252.0,252.0,0.0,0.3388670775130307,0.25379119412222656,0.34829968560315216
CO(GT),6,hourly,cleaned,XGB,6409.0,6409.0,176.0,1.1718506836849614,0.8762097749022999,0.2661630697707058
CO(GT),6,hourly,orig,XGB,6585.0,6585.0,0.0,1.2057884284752494,0.9093678068132451,0.22304255626504277
CO(GT),6,merge,cleaned,XGB,5840.0,5840.0,161.0,0.8653785460381554,0.6297062152391307,0.5998090559439315
CO(GT),6,merge,orig,XGB,6001.0,6001.0,0.0,0.7787697537490554,0.5735725155340593,0.6759043813676338
CO(GT),12,daily,cleaned,LinReg,252.0,252.0,0.0,0.6461067133479131,0.49907727914161276,0.5919157224765943
CO(GT),12,daily,orig,LinReg,252.0,252.0,0.0,0.6074339376151847,0.4685722293642803,0.639305549388453
CO(GT),12,hourly,cleaned,LinReg,6409.0,6409.0,176.0,1.1222720248786424,0.8731386889942684,0.3282759017159108
CO(GT),12,hourly,orig,LinReg,6585.0,6585.0,0.0,1.094014403937523,0.844571181837556,0.3616766453889748
CO(GT),12,merge,cleaned,LinReg,5840.0,5840.0,161.0,1.0333612559362084,0.7646717872680207,0.43049308298103595
CO(GT),12,merge,orig,LinReg,6001.0,6001.0,0.0,1.0187335992136943,0.7166217777218113,0.44650218034254185
CO(GT),12,N/A,N/A,Naive,,,,1.7606160155561386,1.332215735819709,-0.65319449582476
CO(GT),12,daily,cleaned,RF,252.0,252.0,0.0,0.6715399978673149,0.5051814648699389,0.5591558058575286
CO(GT),12,daily,orig,RF,252.0,252.0,0.0,0.6462974865185863,0.47788696546936726,0.5916747002944653
CO(GT),12,hourly,cleaned,RF,6409.0,6409.0,176.0,1.3321668542220362,1.0667509255948207,0.05351899636058899
CO(GT),12,hourly,orig,RF,6585.0,6585.0,0.0,1.2146783099770944,0.9619330548030957,0.21310423590717675
CO(GT),12,merge,cleaned,RF,5840.0,5840.0,161.0,1.0991202232767514,0.834773817858348,0.3557045685021156
CO(GT),12,merge,orig,RF,6001.0,6001.0,0.0,0.9825695452418867,0.7371326621883482,0.4851019435851972
CO(GT),12,daily,cleaned,XGB,252.0,252.0,0.0,0.6711419201970769,0.5197221668784796,0.5596783010669397
CO(GT),12,daily,orig,XGB,252.0,252.0,0.0,0.7209367855479826,0.5682237118770178,0.4919157561422459
CO(GT),12,hourly,cleaned,XGB,6409.0,6409.0,176.0,1.3245020230678857,1.0272625914180502,0.06437911763049797
CO(GT),12,hourly,orig,XGB,6585.0,6585.0,0.0,1.2048120968622071,0.9299441782817885,0.22583542741712237
CO(GT),12,merge,cleaned,XGB,5840.0,5840.0,161.0,0.9925452748393351,0.7481056720757067,0.474593662752669
CO(GT),12,merge,orig,XGB,6001.0,6001.0,0.0,0.9198217086821375,0.7042239265755632,0.5487658453576967
CO(GT),24,daily,cleaned,LinReg,252.0,252.0,0.0,1.12002998141361,0.7419409911640852,-0.2548785610471953
CO(GT),24,daily,orig,LinReg,252.0,252.0,0.0,1.191978346998333,0.8379948500727944,-0.42127833431386863
CO(GT),24,hourly,cleaned,LinReg,6409.0,6409.0,176.0,1.2527395776951131,1.003997046753178,0.16515214774966158
CO(GT),24,hourly,orig,LinReg,6585.0,6585.0,0.0,1.233383480447168,0.9812776873814609,0.19075133367644348
CO(GT),24,merge,cleaned,LinReg,5840.0,5840.0,161.0,1.2987347428984954,1.0022192522566489,0.10272275328768965
CO(GT),24,merge,orig,LinReg,6001.0,6001.0,0.0,1.2349269407384211,0.9247924711982349,0.1887246733060377
CO(GT),24,N/A,N/A,Naive,,,,1.26392738029011,0.8622650742257523,0.1501740631359778
CO(GT),24,daily,cleaned,RF,252.0,252.0,0.0,1.0530147614146483,0.8166659152881459,-0.10920373122480842
CO(GT),24,daily,orig,RF,252.0,252.0,0.0,1.0168426156022508,0.7602259164205794,-0.03430799441122501
CO(GT),24,hourly,cleaned,RF,6409.0,6409.0,176.0,1.3299908096250126,1.041383351979413,0.05901431294217441
CO(GT),24,hourly,orig,RF,6585.0,6585.0,0.0,1.32056427516747,1.034900942184764,0.07230583239995836
CO(GT),24,merge,cleaned,RF,5840.0,5840.0,161.0,1.3359441145911373,1.0565826413442738,0.0505713785953803
CO(GT),24,merge,orig,RF,6001.0,6001.0,0.0,1.3218512127424058,1.022892831516935,0.07049680841443084
CO(GT),24,daily,cleaned,XGB,252.0,252.0,0.0,1.1217793324624168,0.8773718871775642,-0.25880155864466636
CO(GT),24,daily,orig,XGB,252.0,252.0,0.0,0.9821247729242312,0.7241435951140376,0.03511460053811921
CO(GT),24,hourly,cleaned,XGB,6409.0,6409.0,176.0,1.302504526257201,0.9956721233441163,0.0975062146039174
CO(GT),24,hourly,orig,XGB,6585.0,6585.0,0.0,1.2578374922720428,0.9424831447608879,0.15834364135689682
CO(GT),24,merge,cleaned,XGB,5840.0,5840.0,161.0,1.3000756394292268,0.9836557509959096,0.10086898436182101
CO(GT),24,merge,orig,XGB,6001.0,6001.0,0.0,1.3193637154298161,0.9923042379086732,0.07399184801716407
NO2(GT),1,daily,cleaned,LinReg,252.0,252.0,0.0,35.9079742089389,28.04672515629954,0.11681506362853178
NO2(GT),1,daily,orig,LinReg,252.0,252.0,0.0,40.579436022698,33.16844932634939,-0.12792924624944213
NO2(GT),1,hourly,cleaned,LinReg,6414.0,6414.0,176.0,21.044250855422423,15.278415347947833,0.8297681020646761
NO2(GT),1,hourly,orig,LinReg,6590.0,6590.0,0.0,21.03447843634808,15.310408784109969,0.8299261681508653
NO2(GT),1,merge,cleaned,LinReg,5845.0,5845.0,161.0,20.11279602520204,14.845253410438731,0.8445041153915872
NO2(GT),1,merge,orig,LinReg,6006.0,6006.0,0.0,20.151133767494493,14.87734744576209,0.8439107575382728
NO2(GT),1,N/A,N/A,Naive,,,,24.960048819382003,18.32020248717119,0.7605224194251345
NO2(GT),1,daily,cleaned,RF,252.0,252.0,0.0,32.379203560242665,24.613736530791392,0.28187149099231057
NO2(GT),1,daily,orig,RF,252.0,252.0,0.0,31.985388192558865,24.663579653857397,0.29923388159543063
NO2(GT),1,hourly,cleaned,RF,6414.0,6414.0,176.0,21.991223618229654,15.551594994812735,0.8141028248616043
NO2(GT),1,hourly,orig,RF,6590.0,6590.0,0.0,22.396622122308635,15.661976178455351,0.8071857860766722
NO2(GT),1,merge,cleaned,RF,5845.0,5845.0,161.0,20.504930256289594,14.699187616023451,0.838381677827271
NO2(GT),1,merge,orig,RF,6006.0,6006.0,0.0,20.637698915019755,14.723639854536687,0.836281956738307
NO2(GT),1,daily,cleaned,XGB,252.0,252.0,0.0,29.38954388929294,21.565011465421286,0.4083627140363394
NO2(GT),1,daily,orig,XGB,252.0,252.0,0.0,29.539742892419515,22.665038570281,0.4022999861098304
NO2(GT),1,hourly,cleaned,XGB,6414.0,6414.0,176.0,21.52883098915436,15.288741929434874,0.8218380745152759
NO2(GT),1,hourly,orig,XGB,6590.0,6590.0,0.0,22.101018460912588,15.540251701936594,0.812241945904543
NO2(GT),1,merge,cleaned,XGB,5845.0,5845.0,161.0,20.28447656007976,14.5489514568996,0.8418381954490779
NO2(GT),1,merge,orig,XGB,6006.0,6006.0,0.0,20.912401535610744,14.859506321381026,0.8318945400633192
NO2(GT),6,daily,cleaned,LinReg,252.0,252.0,0.0,21.533954084680705,16.327353296107926,0.5278751849905953
NO2(GT),6,daily,orig,LinReg,252.0,252.0,0.0,21.19197203324795,16.357788436205784,0.5427517978251428
NO2(GT),6,hourly,cleaned,LinReg,6409.0,6409.0,176.0,41.89812479803763,32.78235159896149,0.32639514195618424
NO2(GT),6,hourly,orig,LinReg,6585.0,6585.0,0.0,41.78947877482199,32.6194896466003,0.3298840619043637
NO2(GT),6,merge,cleaned,LinReg,5840.0,5840.0,161.0,33.71128432092483,25.51824093200122,0.5639195316253314
NO2(GT),6,merge,orig,LinReg,6001.0,6001.0,0.0,33.09129046349267,24.95381422030125,0.5798121929007735
NO2(GT),6,N/A,N/A,Naive,,,,68.45940002759463,55.25862851847562,-0.7983831136542774
NO2(GT),6,daily,cleaned,RF,252.0,252.0,0.0,25.428642315073816,19.927835874466663,0.3416518671572192
NO2(GT),6,daily,orig,RF,252.0,252.0,0.0,25.936091446280717,20.364706482594357,0.31511395104425755
NO2(GT),6,hourly,cleaned,RF,6409.0,6409.0,176.0,38.81817335440053,29.520234668192955,0.421789160521021
NO2(GT),6,hourly,orig,RF,6585.0,6585.0,0.0,38.16917926998334,29.082705895993094,0.44096154645249297
NO2(GT),6,merge,cleaned,RF,5840.0,5840.0,161.0,33.218424417155504,25.494076664484425,0.5765773383947117
NO2(GT),6,merge,orig,RF,6001.0,6001.0,0.0,32.05193013940527,24.28493878464702,0.6057929258358282
NO2(GT),6,daily,cleaned,XGB,252.0,252.0,0.0,26.69725943268299,20.461822632820375,0.2743242242425641
NO2(GT),6,daily,orig,XGB,252.0,252.0,0.0,24.43866728104464,19.012025156328754,0.3919149871030154
NO2(GT),6,hourly,cleaned,XGB,6409.0,6409.0,176.0,37.5412436125834,28.71355791584829,0.45920415150083127
NO2(GT),6,hourly,orig,XGB,6585.0,6585.0,0.0,37.235359554894025,28.607238966695377,0.46798100024677036
NO2(GT),6,merge,cleaned,XGB,5840.0,5840.0,161.0,31.155464605144918,23.734194193636434,0.6275358287147051
NO2(GT),6,merge,orig,XGB,6001.0,6001.0,0.0,30.29908540630051,23.057608817454135,0.6477304722419535
NO2(GT),12,daily,cleaned,LinReg,252.0,252.0,0.0,28.33495516245832,23.32782380299073,0.4241461608536472
NO2(GT),12,daily,orig,LinReg,252.0,252.0,0.0,28.665803955600406,23.513348603185968,0.4106199111240064
NO2(GT),12,hourly,cleaned,LinReg,6409.0,6409.0,176.0,39.29092531355947,29.71216422079347,0.40804846363519187
NO2(GT),12,hourly,orig,LinReg,6585.0,6585.0,0.0,40.00799540936234,30.377824937995268,0.38624474713496937
NO2(GT),12,merge,cleaned,LinReg,5840.0,5840.0,161.0,35.063444155020946,26.056094815945627,0.5285769810476348
NO2(GT),12,merge,orig,LinReg,6001.0,6001.0,0.0,36.45001706525807,27.006527303897943,0.490555227022595
NO2(GT),12,N/A,N/A,Naive,,,,68.17096946429345,56.3206631574546,-0.781970782621283
NO2(GT),12,daily,cleaned,RF,252.0,252.0,0.0,23.555182916916916,18.998154267487692,0.6020393154444995
NO2(GT),12,daily,orig,RF,252.0,252.0,0.0,23.567928919235698,19.20643545729102,0.6016085159726816
NO2(GT),12,hourly,cleaned,RF,6409.0,6409.0,176.0,39.965197191294365,30.394811976444544,0.3875571638704054
NO2(GT),12,hourly,orig,RF,6585.0,6585.0,0.0,38.855650523406716,29.479391057506486,0.421091391930005
NO2(GT),12,merge,cleaned,RF,5840.0,5840.0,161.0,36.768200829398985,27.906113960990133,0.4816221967027001
NO2(GT),12,merge,orig,RF,6001.0,6001.0,0.0,35.54715265251537,26.78258915674412,0.5154804813347662
NO2(GT),12,daily,cleaned,XGB,252.0,252.0,0.0,24.38490759616779,18.520277536043558,0.5735094275828119
NO2(GT),12,daily,orig,XGB,252.0,252.0,0.0,24.595305164336143,19.731940156670028,0.5661179955085465
NO2(GT),12,hourly,cleaned,XGB,6409.0,6409.0,176.0,37.88284539210974,29.03855120679074,0.44971608074811054
NO2(GT),12,hourly,orig,XGB,6585.0,6585.0,0.0,38.52465133307648,29.521528837969843,0.4309124660717233
NO2(GT),12,merge,cleaned,XGB,5840.0,5840.0,161.0,34.015529564551464,25.766729221627646,0.5563340371175998
NO2(GT),12,merge,orig,XGB,6001.0,6001.0,0.0,33.575829147853085,25.465019569895514,0.5677299650085068
NO2(GT),24,daily,cleaned,LinReg,252.0,252.0,0.0,41.577052239663615,28.60239220984718,0.006316804947342547
NO2(GT),24,daily,orig,LinReg,252.0,252.0,0.0,42.25361803585806,29.74711121079382,-0.02628589234781309
NO2(GT),24,hourly,cleaned,LinReg,6409.0,6409.0,176.0,43.27772735210198,33.11311655220962,0.28503073255176414
NO2(GT),24,hourly,orig,LinReg,6585.0,6585.0,0.0,43.74501994226636,33.56665932429941,0.26950757142146475
NO2(GT),24,merge,cleaned,LinReg,5840.0,5840.0,161.0,39.63591228863795,30.024699931643834,0.4002970315198181
NO2(GT),24,merge,orig,LinReg,6001.0,6001.0,0.0,40.97372479705621,30.907125499697123,0.3591308391318393
NO2(GT),24,N/A,N/A,Naive,,,,44.69040087951737,33.07138719818385,0.23759281245038144
NO2(GT),24,daily,cleaned,RF,252.0,252.0,0.0,38.39202381087845,27.349600342361487,0.15272855988306622
NO2(GT),24,daily,orig,RF,252.0,252.0,0.0,37.51795004998809,26.83173731844512,0.19086915629897971
NO2(GT),24,hourly,cleaned,RF,6409.0,6409.0,176.0,40.023187413950694,30.434519449456328,0.38852060631495666
NO2(GT),24,hourly,orig,RF,6585.0,6585.0,0.0,39.32530168182064,30.015525248245716,0.40965946144003884
NO2(GT),24,merge,cleaned,RF,5840.0,5840.0,161.0,38.800296176855916,29.83523428224975,0.42531671887532563
NO2(GT),24,merge,orig,RF,6001.0,6001.0,0.0,40.31434684616656,31.016257437626777,0.3795915031008025
NO2(GT),24,daily,cleaned,XGB,252.0,252.0,0.0,37.950366814973925,26.448058335677437,0.17211024013449494
NO2(GT),24,daily,orig,XGB,252.0,252.0,0.0,37.11306254890842,26.61906043342922,0.20823893395857318
NO2(GT),24,hourly,cleaned,XGB,6409.0,6409.0,176.0,39.56745476731794,30.54502786550794,0.402366807277985
NO2(GT),24,hourly,orig,XGB,6585.0,6585.0,0.0,39.422982846614154,30.265136118976574,0.40672309391250305
NO2(GT),24,merge,cleaned,XGB,5840.0,5840.0,161.0,38.306979996198834,29.700562057529687,0.4398371397150963
NO2(GT),24,merge,orig,XGB,6001.0,6001.0,0.0,38.97359260708089,30.304601175838,0.4201717599420849
NOx(GT),1,daily,cleaned,LinReg,252.0,252.0,0.0,89.21871192825667,61.87648155367428,0.5385257877374672
NOx(GT),1,daily,orig,LinReg,252.0,252.0,0.0,85.21681860377558,59.980246552669136,0.578996048015713
NOx(GT),1,hourly,cleaned,LinReg,6414.0,6414.0,176.0,94.43560814962784,62.99014316243503,0.7963938257903145
NOx(GT),1,hourly,orig,LinReg,6590.0,6590.0,0.0,95.12945688472749,63.748732516194735,0.7933909146179886
NOx(GT),1,merge,cleaned,LinReg,5845.0,5845.0,161.0,91.31080527891991,62.628758507137604,0.8096452464998936
