pollutant,horizon_h,mode,n_features,rmse_baseline,rmse_dt,rmse_rf
C6H6(GT),1,engineered,146,0.47086483389255046,0.560757337439605,0.3429473488045895
C6H6(GT),6,engineered,146,1.0622878103145224,0.8694483563552857,0.5181317575008948
C6H6(GT),12,engineered,146,1.097988613596858,1.1326998172734053,0.6191025464032496
C6H6(GT),24,engineered,146,0.7679983083196318,1.2935981605460427,0.7947361633543879
CO(GT),1,engineered,146,0.5274057338629374,0.5693956157805133,0.3942282347118267
CO(GT),6,engineered,146,1.197516953004479,0.9616134317443453,0.6499276911940974
CO(GT),12,engineered,146,1.1957825696998667,1.0185450236210178,0.6940404376826894
CO(GT),24,engineered,146,0.8584394992226155,1.358161271950495,0.8624666235694939
NO2(GT),1,engineered,146,0.6068223672682259,0.7489614582024053,0.4682719246698226
NO2(GT),6,engineered,146,1.6643675453971325,1.2252135820420988,0.9581006422313916
NO2(GT),12,engineered,146,1.6573552948009311,1.2600088285919262,1.0069673908534162
NO2(GT),24,engineered,146,1.086501675221731,1.4714289285271818,1.006553910404118
NOx(GT),1,engineered,146,0.5520654579406189,0.6576777641391338,0.4237635869534412
NOx(GT),6,engineered,146,1.373042400102534,1.1046904760669083,0.7445366443298909
NOx(GT),12,engineered,146,1.3340192099133312,1.3015595495454635,0.8591398899789161
NOx(GT),24,engineered,146,1.0182225122022668,1.8930404512335441,1.0883351992460988
