h,RMSE,MAE,R2
1,29.67608028223458,20.83067524676566,0.6460282378802092
6,42.882622866593366,31.243196065779973,0.24483639393600473
12,47.738853390732736,34.617199274802424,0.4380948234103656
24,56.768763309517695,39.07731555865541,0.09944346149180647
