pollutant,h,fe_type,model,RMSE,MAE,R2
CO(GT),24,merge,RF,0.014092901848731465,0.033689809827338824,-0.019925429819050544
CO(GT),24,merge,XGB,-0.01928807600058935,-0.008648486912763542,0.026877136344656938
NO2(GT),1,daily,LinReg,-4.671461813759095,-5.121724170049848,0.2447443098779739
NO2(GT),1,daily,RF,0.3938153676837999,-0.04984312306600458,-0.01736239060312006
NO2(GT),1,daily,XGB,-0.15019900312657342,-1.1000271048597128,0.006062727926508971
NO2(GT),1,hourly,LinReg,0.009772419074341343,-0.03199343616213568,-0.00015806608618917917
NO2(GT),1,hourly,RF,-0.40539850407898115,-0.11038118364261607,0.006917038784932106
NO2(GT),1,hourly,XGB,-0.5721874717582267,-0.2515097725017199,0.00959612861073289
NO2(GT),1,merge,LinReg,-0.03833774229245179,-0.032094035323359194,0.0005933578533143802
NO2(GT),1,merge,RF,-0.13276865873016064,-0.02445223851323597,0.002099721088964057
NO2(GT),1,merge,XGB,-0.6279249755309841,-0.31055486448142666,0.009943655385758698
NO2(GT),6,daily,LinReg,0.34198205143275473,-0.030435140097857527,-0.014876612834547553
NO2(GT),6,daily,RF,-0.5074491312069007,-0.43687060812769474,0.026537916112961635
NO2(GT),6,daily,XGB,2.25859215163835,1.4497974764916215,-0.11759076286045134
NO2(GT),6,hourly,LinReg,0.10864602321564121,0.16286195236119028,-0.0034889199481794586
NO2(GT),6,hourly,RF,0.6489940844171898,0.43752877219986175,-0.01917238593147197
NO2(GT),6,hourly,XGB,0.30588405768937577,0.1063189491529144,-0.008776848745939092
NO2(GT),6,merge,LinReg,0.6199938574321635,0.5644267116999693,-0.015892661275442088
NO2(GT),6,merge,RF,1.1664942777502318,1.209137879837403,-0.02921558744111652
NO2(GT),6,merge,XGB,0.856379198844408,0.6765853761822989,-0.020194643527248313
NO2(GT),12,daily,LinReg,-0.33084879314208493,-0.18552480019523898,0.013526249729640782
NO2(GT),12,daily,RF,-0.012746002318781535,-0.20828118980332633,0.0004307994718178998
NO2(GT),12,daily,XGB,-0.21039756816835364,-1.2116626206264698,0.007391432074265403
NO2(GT),12,hourly,LinReg,-0.7170700958028675,-0.6656607172017992,0.021803716500222503
NO2(GT),12,hourly,RF,1.109546667887649,0.9154209189380573,-0.0335342280595996
NO2(GT),12,hourly,XGB,-0.6418059409667336,-0.48297763117910364,0.018803614676387248
NO2(GT),12,merge,LinReg,-1.3865729102371276,-0.950432487952316,0.03802175402503982
NO2(GT),12,merge,RF,1.2210481768836132,1.1235248042460135,-0.03385828463206608
NO2(GT),12,merge,XGB,0.4397004166983791,0.30170965173213204,-0.011395927890907043
NO2(GT),24,daily,LinReg,-0.6765657961944456,-1.1447190009466368,0.032602697295155636
NO2(GT),24,daily,RF,0.8740737608903615,0.517863023916366,-0.0381405964159135
NO2(GT),24,daily,XGB,0.8373042660655088,-0.17100209775178143,-0.03612869382407824
NO2(GT),24,hourly,LinReg,-0.4672925901643836,-0.45354277208979,0.01552316113029939
NO2(GT),24,hourly,RF,0.6978857321300538,0.41899420121061226,-0.02113885512508218
NO2(GT),24,hourly,XGB,0.14447192070378634,0.2798917465313657,-0.004356286634518036
NO2(GT),24,merge,LinReg,-1.33781250841826,-0.8824255680532893,0.041166192387978806
NO2(GT),24,merge,RF,-1.5140506693106417,-1.1810231553770265,0.045725215774523154
NO2(GT),24,merge,XGB,-0.6666126108820549,-0.6040391183083109,0.019665379773011415
NOx(GT),1,daily,LinReg,4.001893324481088,1.8962350010051452,-0.04047026027824585
NOx(GT),1,daily,RF,-1.889983571066864,-0.5631351513492575,0.021348757396514872
NOx(GT),1,daily,XGB,-8.730430558829212,-4.092595172184772,0.09528963103454913
NOx(GT),1,hourly,LinReg,-0.6938487350996496,-0.758589353759703,0.003002911172325873
NOx(GT),1,hourly,RF,0.08888179935428298,-0.21172938940514285,-0.00036731686541346953
NOx(GT),1,hourly,XGB,-1.638896909195708,-1.9727790935157188,0.006540923842696111
NOx(GT),1,merge,LinReg,-0.7552755537611944,-0.8410893577960366,0.003162054874214504
NOx(GT),1,merge,RF,1.6141184348043538,0.7377489041631478,-0.006258341743711093
NOx(GT),1,merge,XGB,0.413498201024737,0.6437796828636237,-0.0015525243182388238
NOx(GT),6,daily,LinReg,-15.945637891811174,-20.502560911782872,0.34610400528586727
NOx(GT),6,daily,RF,0.4727104403133211,2.618249236401226,-0.00784780835978971
NOx(GT),6,daily,XGB,-3.77005448828735,-2.22631946686775,0.05753095262890218
NOx(GT),6,hourly,LinReg,-1.3990434897100386,1.8955338280246679,0.011958803753218561
NOx(GT),6,hourly,RF,5.855910166331199,4.70078749361906,-0.062223593851131964
NOx(GT),6,hourly,XGB,2.9892534704964646,0.9063474177242625,-0.024153617629370294
NOx(GT),6,merge,LinReg,3.953073701744387,6.657835532790159,-0.026973585339844286
NOx(GT),6,merge,RF,8.040577724119075,7.282055352978361,-0.047616338750543497
NOx(GT),6,merge,XGB,8.864483666447256,7.359474764191702,-0.05160606323945194
NOx(GT),12,daily,LinReg,-0.8110086343307188,0.6871971752224226,0.00461491568866057
NOx(GT),12,daily,RF,-10.837921759064045,-2.9170038078996328,0.0641477289900565
NOx(GT),12,daily,XGB,-25.088763816963493,-16.906341716807376,0.14958170435615847
NOx(GT),12,hourly,LinReg,-3.508737295732118,-1.8190690791144277,0.028644391344153863
NOx(GT),12,hourly,RF,-4.150225656864052,-8.621737154686912,0.0361091045352786
NOx(GT),12,hourly,XGB,10.896011878030833,5.220278505127894,-0.08781508195711529
NOx(GT),12,merge,LinReg,-9.52774506243233,-1.8963331144910427,0.06988509981901148
NOx(GT),12,merge,RF,10.733581279032421,8.829653713843157,-0.07701809750998145
NOx(GT),12,merge,XGB,5.741337741613279,6.5062676043379355,-0.03831729941673201
NOx(GT),24,daily,LinReg,-3.8735568046248545,0.22630160756949635,0.0440963558059464
NOx(GT),24,daily,RF,3.8821479299481325,7.116178024052118,-0.04047710330162824
NOx(GT),24,daily,XGB,1.9312076618349465,2.0260823291281014,-0.02023163593275057
NOx(GT),24,hourly,LinReg,-1.607910727510557,0.019371914589470407,0.012788564870237606
NOx(GT),24,hourly,RF,-8.227465770008621,-3.042138921038685,0.07256875836009824
NOx(GT),24,hourly,XGB,-0.8017883154444405,0.19957808428455337,0.0069520709845277695
NOx(GT),24,merge,LinReg,-20.55675315312118,-15.66405609324903,0.1803678869256542
NOx(GT),24,merge,RF,-10.748613997190404,-2.052317612481204,0.10567755431807635
NOx(GT),24,merge,XGB,2.6282474263562676,7.102140284038313,-0.023061205094463855
