h,fe_type,data_ver,model,train_n,train_n_eff,clean_removed,Accuracy,Macro-F1,Macro-Recall
6,merge,orig,RF,6001.0,6001.0,0.0,0.7101123595505618,0.6633096800056841,0.6745200807838181
6,daily,cleaned,XGB,252.0,252.0,0.0,0.946236559139785,0.3241252302025783,0.3333333333333333
6,daily,orig,XGB,252.0,252.0,0.0,0.9354838709677419,0.32222222222222224,0.32954545454545453
6,hourly,cleaned,XGB,6409.0,6409.0,176.0,0.6346067415730338,0.5893298708657825,0.6037485838089405
6,hourly,orig,XGB,6585.0,6585.0,0.0,0.6260674157303371,0.5739576230151513,0.5940904462727541
6,merge,cleaned,XGB,5840.0,5840.0,161.0,0.7240449438202248,0.6863295426181613,0.6954488365902827
6,merge,orig,XGB,6001.0,6001.0,0.0,0.7384269662921348,0.7105654962685272,0.7143194488815259
12,daily,cleaned,LogReg,252.0,252.0,0.0,0.5268817204301075,0.530036809200419,0.556087187666135
12,daily,orig,LogReg,252.0,252.0,0.0,0.5053763440860215,0.48502529001044586,0.548910154173312
12,hourly,cleaned,LogReg,6409.0,6409.0,176.0,0.6056782334384858,0.5881401873300001,0.5953388075118169
12,hourly,orig,LogReg,6585.0,6585.0,0.0,0.6092834610184767,0.5940950622827096,0.602186413064007
12,merge,cleaned,LogReg,5840.0,5840.0,161.0,0.5074357818837314,0.489354648603005,0.5279240388367635
12,merge,orig,LogReg,6001.0,6001.0,0.0,0.4921135646687697,0.47952267406291166,0.5222142917141633
12,N/A,N/A,Naive,,,,0.41054529067147366,0.37902820466922066,0.3789529900862425
12,daily,cleaned,RF,252.0,252.0,0.0,0.5591397849462365,0.558769118308592,0.6100478468899522
12,daily,orig,RF,252.0,252.0,0.0,0.6129032258064516,0.6128444679475878,0.6552365762892078
12,hourly,cleaned,RF,6409.0,6409.0,176.0,0.5903560162235241,0.5420600563758416,0.5641778908924419
12,hourly,orig,RF,6585.0,6585.0,0.0,0.598017124831005,0.5508396450416403,0.5718842100741709
12,merge,cleaned,RF,5840.0,5840.0,161.0,0.6647138350608383,0.6174517408571264,0.6320145350089289
12,merge,orig,RF,6001.0,6001.0,0.0,0.6651644885083371,0.6281359319364616,0.6376480722115779
12,daily,cleaned,XGB,252.0,252.0,0.0,0.6451612903225806,0.6405026990553306,0.6866028708133971
12,daily,orig,XGB,252.0,252.0,0.0,0.6451612903225806,0.6470286885245901,0.6892610313662946
12,hourly,cleaned,XGB,6409.0,6409.0,176.0,0.6083821541234791,0.5610733942213151,0.5852486679391646
12,hourly,orig,XGB,6585.0,6585.0,0.0,0.6146913023884633,0.5687883135348737,0.5869043602007323
12,merge,cleaned,XGB,5840.0,5840.0,161.0,0.6840919333032898,0.6412192201209642,0.6519739391175006
12,merge,orig,XGB,6001.0,6001.0,0.0,0.6931050022532672,0.6618251417238726,0.6688090224740035
24,daily,cleaned,LogReg,252.0,252.0,0.0,0.5434782608695652,0.39258770966088036,0.5113871635610766
24,daily,orig,LogReg,252.0,252.0,0.0,0.5,0.3282247765006386,0.4161490683229814
24,hourly,cleaned,LogReg,6409.0,6409.0,176.0,0.5999093792478477,0.5428297715676509,0.5562846136317002
24,hourly,orig,LogReg,6585.0,6585.0,0.0,0.6048935206162211,0.554399816584929,0.5635923626513565
24,merge,cleaned,LogReg,5840.0,5840.0,161.0,0.5061169007702764,0.4989577361149164,0.5297599124779725
24,merge,orig,LogReg,6001.0,6001.0,0.0,0.5070231082917989,0.4986872673342216,0.5233274868454022
24,N/A,N/A,Naive,,,,0.6202990484821024,0.5857555530652458,0.5858227307738708
24,daily,cleaned,RF,252.0,252.0,0.0,0.45652173913043476,0.43109129676293856,0.4417701863354037
24,daily,orig,RF,252.0,252.0,0.0,0.5434782608695652,0.4744364716967457,0.4690734989648033
24,hourly,cleaned,RF,6409.0,6409.0,176.0,0.5713638423198912,0.5272370555582534,0.5514283165929926
24,hourly,orig,RF,6585.0,6585.0,0.0,0.5768010874490258,0.5225994997461815,0.5482327005309271
24,merge,cleaned,RF,5840.0,5840.0,161.0,0.5727231536021749,0.5117786276020616,0.5417037098904635
24,merge,orig,RF,6001.0,6001.0,0.0,0.5804259175351155,0.5126158006864769,0.5442266705024577
24,daily,cleaned,XGB,252.0,252.0,0.0,0.4891304347826087,0.45887540201265686,0.4730201863354037
24,daily,orig,XGB,252.0,252.0,0.0,0.5543478260869565,0.49532163742690055,0.48583074534161486
24,hourly,cleaned,XGB,6409.0,6409.0,176.0,0.577254191209787,0.5507968332689441,0.566192657759795
24,hourly,orig,XGB,6585.0,6585.0,0.0,0.5786135024920707,0.5477110073891488,0.5614965977977198
24,merge,cleaned,XGB,5840.0,5840.0,161.0,0.5681921159945628,0.526986327613921,0.5473179365506545
24,merge,orig,XGB,6001.0,6001.0,0.0,0.5790666062528319,0.5374994435401619,0.5581551804316915
