h,fe_type,data_ver,model,train_n,train_n_eff,clean_removed,Accuracy,Macro-F1,Macro-Recall
1,daily,cleaned,LogReg,252.0,252.0,0.0,0.6774193548387096,0.5150928857396518,0.5174718405208423
1,daily,orig,LogReg,252.0,252.0,0.0,0.6881720430107527,0.5835632717179857,0.5820297871114568
1,hourly,cleaned,LogReg,6414.0,6414.0,176.0,0.7605381165919283,0.7281044447221928,0.7375273738500715
1,hourly,orig,LogReg,6590.0,6590.0,0.0,0.7672645739910314,0.7396679505631614,0.7485506212871957
1,merge,cleaned,LogReg,5845.0,5845.0,161.0,0.742152466367713,0.7367943391811672,0.7510574827545083
1,merge,orig,LogReg,6006.0,6006.0,0.0,0.7336322869955157,0.7316804569282809,0.7468920056545706
1,N/A,N/A,Naive,,,,0.7704035874439462,0.7427258902875998,0.7427258902875998
1,daily,cleaned,RF,252.0,252.0,0.0,0.6989247311827957,0.6019784490372726,0.59352403998502
1,daily,orig,RF,252.0,252.0,0.0,0.6559139784946236,0.5178816127226757,0.5227148330596606
1,hourly,cleaned,RF,6414.0,6414.0,176.0,0.7977578475336323,0.774570616638783,0.7794533696556458
1,hourly,orig,RF,6590.0,6590.0,0.0,0.7878923766816144,0.7617427013443395,0.7664803794531222
1,merge,cleaned,RF,5845.0,5845.0,161.0,0.804932735426009,0.7797741057567676,0.7835041742083719
1,merge,orig,RF,6006.0,6006.0,0.0,0.8004484304932735,0.7741481802817289,0.7782426627488234
1,daily,cleaned,XGB,252.0,252.0,0.0,0.7096774193548387,0.5709325396825397,0.5767867945726385
1,daily,orig,XGB,252.0,252.0,0.0,0.7634408602150538,0.6282504095004096,0.6173191599688876
1,hourly,cleaned,XGB,6414.0,6414.0,176.0,0.7964125560538117,0.774624599589859,0.7818148637338843
1,hourly,orig,XGB,6590.0,6590.0,0.0,0.794170403587444,0.7693737452156193,0.7747000209876568
1,merge,cleaned,XGB,5845.0,5845.0,161.0,0.8022421524663678,0.7791155534200197,0.7843634722860559
1,merge,orig,XGB,6006.0,6006.0,0.0,0.8094170403587444,0.790313141021859,0.7959949274183452
6,daily,cleaned,LogReg,252.0,252.0,0.0,0.7956989247311828,0.3542673107890499,0.43939393939393945
6,daily,orig,LogReg,252.0,252.0,0.0,0.7634408602150538,0.34059022738268024,0.42803030303030304
6,hourly,cleaned,LogReg,6409.0,6409.0,176.0,0.5123595505617977,0.48519074619020786,0.5218218342286567
6,hourly,orig,LogReg,6585.0,6585.0,0.0,0.5159550561797753,0.4891734882517838,0.5261160699654784
6,merge,cleaned,LogReg,5840.0,5840.0,161.0,0.6,0.6028757364789227,0.6222272257955622
6,merge,orig,LogReg,6001.0,6001.0,0.0,0.5384269662921348,0.5496788912426781,0.5822785099465052
6,N/A,N/A,Naive,,,,0.42112359550561795,0.38094592235888447,0.38094055790152215
6,daily,cleaned,RF,252.0,252.0,0.0,0.946236559139785,0.3241252302025783,0.3333333333333333
6,daily,orig,RF,252.0,252.0,0.0,0.946236559139785,0.3241252302025783,0.3333333333333333
6,hourly,cleaned,RF,6409.0,6409.0,176.0,0.6395505617977528,0.5837359776090985,0.6037951831446177
6,hourly,orig,RF,6585.0,6585.0,0.0,0.6413483146067416,0.5819329055069181,0.6043037372032173
6,merge,cleaned,RF,5840.0,5840.0,161.0,0.7015730337078652,0.6429633160648639,0.659343236434902
