,improvement,mse_with,mse_without,anomalies_removed
CO(GT),3.1561608382198534,0.5432791735305034,0.5261324090133291,781
C6H6(GT),-1903.132891055588,0.006887168632414708,0.13795914013836236,779
NOx(GT),1.2921784637356488,22217.962156153313,21930.866434090563,785
NO2(GT),4.47608076058704,6265.233734622328,5984.796812821089,735
