,total_samples,consensus_anomalies,anomaly_rate,pollution_spikes,avg_temperature_anomalies,avg_temperature_normal,weekend_anomaly_rate,weekday_anomaly_rate
CO,8809,781,8.86593256896356,410,19.32364259820087,17.995634735174075,6.1461151913413214,9.996785599485696
C6H6,8809,779,8.843228516290157,437,18.295004442737813,18.095754926809413,5.488983378430615,10.237865638058501
NOx,8809,785,8.911340674310363,440,16.64401525071921,18.257124694835213,5.836876691148047,10.18964963034394
NO2,8809,735,8.34373935747531,425,17.30145066014482,18.18728688233415,5.373018940858136,9.578913532626165
