,Value
total_samples,6578.0
residual_anomalies,147.0
isolation_forest_anomalies,329.0
lof_anomalies,329.0
enhanced_consensus_anomalies,175.0
pollution_spikes,329.0
avg_temperature_anomalies,-0.5313792832236292
avg_temperature_normal,0.014523094575063653
weekend_anomaly_rate,0.013577023498694517
weekday_anomaly_rate,0.031953677889770535
cleaning_rate,2.660383095165704
