h,Accuracy,Macro-F1,Macro-Recall
1,0.7550227429802144,0.6976449446146842,0.7021348782920421
6,0.717544735746983,0.5082499291733037,0.5332768272236643
12,0.6015364752008692,0.5775951716187604,0.6051372175690872
24,0.5505188804178185,0.49514647117042376,0.5216082774735787
